iter	Passed	Remaining
904	5679	596
905	5685	589
906	5691	583
907	5696	577
908	5702	570
909	5709	564
910	5715	558
911	5720	551
912	5725	545
913	5730	539
914	5737	532
915	5742	526
916	5750	520
917	5755	514
918	5760	507
919	5767	501
920	5773	495
921	5778	488
922	5784	482
923	5790	476
924	5795	469
925	5801	463
926	5807	457
927	5812	450
928	5818	444
929	5824	438
930	5831	432
931	5837	425
932	5842	419
933	5848	413
934	5854	406
935	5859	400
936	5866	394
937	5871	388
938	5876	381
939	5882	375
940	5889	369
941	5895	362
942	5900	356
943	5905	350
944	5910	343
945	5916	337
946	5921	331
947	5928	325
948	5933	318
949	5938	312
950	5944	306
951	5950	300
952	5956	293
953	5962	287
954	5966	281
955	5971	274
956	5978	268
957	5983	262
958	5988	256
959	5994	249
960	5999	243
961	6005	237
962	6011	230
963	6018	224
964	6025	218
965	6031	212
966	6036	206
967	6043	199
968	6048	193
969	6054	187
970	6060	181
971	6067	174
972	6073	168
973	6078	162
974	6083	155
975	6090	149
976	6095	143
977	6100	137
978	6107	131
979	6112	124
980	6117	118
981	6123	112
982	6130	106
983	6136	99
984	6142	93
985	6147	87
986	6152	81
987	6158	74
988	6163	68
989	6170	62
990	6176	56
991	6181	49
992	6189	43
993	6195	37
994	6200	31
995	6207	24
996	6212	18
997	6216	12
998	6223	6
999	6228	0
